basin,nse_1day(s),nse_2day(s),nse_3day(s),nse_4day(s),nse_5day(s),nse_6day(s),nse_7day(s),nse
03/02196000,0.2346300184726715,0.24635499715805054,0.23575332760810852,0.23809072375297546,0.2425750344991684,0.24944241344928741,0.2925788164138794,0.2484896183013916
03/02198100,0.3912581503391266,0.4474194645881653,0.4485287666320801,0.4550943374633789,0.468593031167984,0.48821720480918884,0.5627737045288086,0.4659839868545532
03/02202600,0.11303143948316574,0.23180635273456573,0.29628288745880127,0.3279455900192261,0.3485749065876007,0.36898958683013916,0.373380571603775,0.2942509651184082
03/02212600,0.37627148628234863,0.3786126971244812,0.374260812997818,0.3750801980495453,0.3718702495098114,0.3634548783302307,0.3852117657661438,0.37496596574783325
03/02215100,0.13440509140491486,0.23792339861392975,0.2567513585090637,0.25128883123397827,0.25899866223335266,0.2561008930206299,0.2747655212879181,0.2386035919189453
03/02216180,0.19264596700668335,0.2528236508369446,0.2573837339878082,0.2643169164657593,0.26323044300079346,0.28018489480018616,0.3166412115097046,0.26103222370147705
03/02221525,0.3590872883796692,0.35877472162246704,0.37841150164604187,0.35422998666763306,0.35129642486572266,0.34834304451942444,0.3620651066303253,0.3588867485523224
03/02245500,0.2495819330215454,0.3820246458053589,0.421491414308548,0.4377366900444031,0.4505521357059479,0.4633096754550934,0.5017549395561218,0.41520997881889343
03/02246000,0.17672856152057648,0.2664684057235718,0.31048721075057983,0.3245603144168854,0.33799052238464355,0.35106369853019714,0.40744268894195557,0.31067949533462524
03/02296500,0.027848921716213226,0.07714976370334625,0.11889839172363281,0.14716096222400665,0.1859673410654068,0.22913146018981934,0.2625254690647125,0.14979307353496552
03/02297155,0.299593061208725,0.44869041442871094,0.4634268283843994,0.48478662967681885,0.5196418166160583,0.5414433479309082,0.5811493992805481,0.4769631326198578
03/02342933,0.48512208461761475,0.506937563419342,0.4879841208457947,0.486707478761673,0.488116055727005,0.48137471079826355,0.48650655150413513,0.4889640510082245
03/02349900,0.32550740242004395,0.3642188012599945,0.362763375043869,0.36140355467796326,0.3588029742240906,0.3687850832939148,0.40572747588157654,0.36388644576072693
03/02350900,0.21960589289665222,0.2518485486507416,0.2605630159378052,0.26268041133880615,0.26913008093833923,0.2608664333820343,0.2631846070289612,0.2554108202457428
03/02361000,0.46930137276649475,0.48394617438316345,0.48660871386528015,0.48799780011177063,0.4906606078147888,0.486615926027298,0.49322396516799927,0.48547935485839844
03/02363000,0.33087974786758423,0.3650142550468445,0.36979225277900696,0.3788139820098877,0.38170042634010315,0.4138149917125702,0.37647566199302673,0.37378454208374023
03/02371500,0.18598349392414093,0.24706456065177917,0.26338380575180054,0.2693692445755005,0.2826680541038513,0.2919789254665375,0.28118228912353516,0.2602327764034271
03/02372250,0.3152700662612915,0.3986040949821472,0.43820270895957947,0.43245843052864075,0.4510946571826935,0.46292397379875183,0.4353078007698059,0.41912248730659485
03/02374500,0.20844824612140656,0.34406042098999023,0.31927934288978577,0.31147855520248413,0.30894944071769714,0.37272149324417114,0.3442760705947876,0.3156026303768158
03/02381600,0.2969551384449005,0.31305956840515137,0.3220241963863373,0.3317772448062897,0.33547443151474,0.3257119953632355,0.3135916292667389,0.3198002576828003
03/02384540,0.2828945815563202,0.3037433624267578,0.30497172474861145,0.31005725264549255,0.3289038836956024,0.3173874616622925,0.3366250693798065,0.3120850622653961
03/02395120,0.3435627818107605,0.3442736864089966,0.33926165103912354,0.3489895462989807,0.34564995765686035,0.3429320752620697,0.31596431136131287,0.3400901257991791
03/02415000,0.16522200405597687,0.17381495237350464,0.17382308840751648,0.1717732697725296,0.17812930047512054,0.1758478879928589,0.1687115877866745,0.17247463762760162
03/02427250,0.1823062151670456,0.17982028424739838,0.18668152391910553,0.1923508197069168,0.19522424042224884,0.1875661164522171,0.1874307245016098,0.18733994662761688
03/02430085,0.3024185597896576,0.3067917823791504,0.3121775686740875,0.3090544641017914,0.3128173053264618,0.32544317841529846,0.3045133352279663,0.31045952439308167
03/02450250,0.207523912191391,0.2149263471364975,0.22140911221504211,0.22104512155056,0.22404713928699493,0.23184120655059814,0.26373040676116943,0.2263607233762741
